fighter,opponent,odds,event,date
Cody Gibson,Miles Johns,1.87,UFC,
Cody Gibson,Chad Anheliger,1.77,UFC Fight Night,
Cody Gibson,Qileng Aori,1.79,UFC Fight Night,
Cody Gibson,Aoriqileng,2.45,UFC Fight Night,
Cody Gibson,John Dodson,2.9,XMMA 3,
Cody Gibson,Johnny Bedford,2.6,UFC Fight Night 44: Swanson vs. Stephens,
Cody Gibson,Douglas Silva de Andrade,1.38,UFC Fight Night 61: Bigfoot vs. Mir,
Kyle Nelson,Choi Doo-Ho,,UFC Fight Night 218,
Kyle Nelson,Jo Pehtagoose,,Score Fighting Series 6: Horodecki vs. Cardinal,
Kyle Nelson,Diego Ferreira,4.05,UFC 231: Holloway vs. Ortega,
Kyle Nelson,Choi Doo-Ho,3.1,UFC Fight Night: Lewis vs. Spivak,
Kyle Nelson,Jai Herbert,3.1,UFC Fight Night: Blaydes vs. Aspinall,
Kyle Nelson,Blake Bilder,2.8,UFC 289,
Kyle Nelson,Bill Algeo,2.5,UFC,
Kyle Nelson,Matt Sayles,1.95,UFC on ESPN+ 9: Iaquinta vs. Cowboy,
Kyle Nelson,Matt Frevola,1.59,UFC Fight Night,
Kyle Nelson,Billy Quarantillo,3.5,UFC on ESPN+ 35: Waterson vs. Hill,
Kyle Nelson,Fernando Padilla,2.85,UFC,
Kyle Nelson,Marco Polo Reyes,1.83,UFC on ESPN+ 17: Rodriguez vs. Stephens,
Kyle Nelson,Steve Garcia,2.1,UFC,
Matt Frevola,Raush Manfio,,Titan FC 43: Torres vs. Nobre,
Matt Frevola,Josh Zuckerman,,WSOF 15: Branch vs. Okami,
Matt Frevola,Jalin Turner,2.25,UFC 236: Holloway vs. Poirier 2,
Matt Frevola,Luke Flores,1.67,Dana White's Contender Series 8,
Matt Frevola,Marco Polo Reyes,1.43,UFC Fight Night 124: Stephens vs. Choi,
Matt Frevola,Genaro Valdez,2.1,UFC 270,
Matt Frevola,Arman Tsarukyan,5.75,UFC 257: Poirier vs. McGregor 2,
Matt Frevola,Terrance McKinney,1.23,UFC 263: Adesanya vs. Vettori 2,
Matt Frevola,Drew Dober,3.85,UFC Fight Night 225,
Matt Frevola,Ottman Azaitar,2.05,UFC 281,
Matt Frevola,Benoit Saint-Denis,2.4,UFC,
Matt Frevola,Lando Vannata,3.05,UFC 230: Cormier vs. Lewis,
Matt Frevola,Luis Pena,2.25,UFC on ESPN+ 19: Joanna vs. Waterson,
Matt Frevola,Kyle Nelson,2.45,UFC Fight Night,
Matt Frevola,Fares Ziam,1.72,UFC,
Charles Jourdain,Lando Vannata,1.83,UFC Fight Night: Lemos vs. Andrade,
Charles Jourdain,Andre Ewell,1.44,UFC Fight Night: Lewis vs. Daukaus,
Charles Jourdain,Dooho Choi,3.2,UFC on ESPN+ 23: Edgar vs. The Korean Zombie,
Charles Jourdain,Sean Woodson,2.05,UFC 297,
Charles Jourdain,Shane Burgos,2.3,UFC on ABC: Ortega vs. Rodriguez,
Charles Jourdain,Andre Fili,2.5,UFC on ESPN 10: Eye vs. Calvillo,
Charles Jourdain,Jean Silva,1.51,UFC 303,
Charles Jourdain,Marcelo Rojo,1.44,UFC Fight Night 187: Edwards vs. Muhammad,
Charles Jourdain,Desmond Green,2.8,UFC on ESPN+ 10: Dos Anjos vs. Lee,
Charles Jourdain,Kron Gracie,1.54,UFC Fight Night 225,
Charles Jourdain,Victor Henry,2,UFC Fight Night,
Charles Jourdain,Davey Grant,1.5,UFC Fight Night,
Charles Jourdain,Josh Culibao,1.33,UFC on ESPN 16: Holm vs. Aldana,
Charles Jourdain,Ricardo Ramos,1.8,UFC on ESPN 53,
Charles Jourdain,Nathaniel Wood,1.5,UFC Fight Night: Gane vs. Tuivasa,
Charles Jourdain,Julian Erosa,1.59,UFC Fight Night 191,
Davey Grant,Ramon Taveras,2.22,UFC Fight Night,
Davey Grant,Marlon Vera,1.41,UFC Fight Night 84: Silva vs. Bisping,
Davey Grant,Martin Day,1.91,UFC 251: Usman vs. Masvidal,
Davey Grant,Manny Bermudez,2.95,UFC Fight Night 134: Shogun vs. Smith,
Davey Grant,Daniel Marcos,2,UFC 292,
Davey Grant,Da'mon Blackshear,3.75,UFC,
Davey Grant,Marlon Vera,3.75,UFC on ESPN: The Korean Zombie vs. Ige,
Davey Grant,Raphael Assuncao,1.65,UFC Fight Night 221,
Davey Grant,Jonathan Martinez,3.45,UFC Fight Night 187: Edwards vs. Muhammad,
Davey Grant,Louis Smolka,1.36,UFC Fight Night 208,
Davey Grant,Adrian Yanez,3.05,UFC Fight Night: Vieira vs. Tate,
Davey Grant,Chris Holdsworth,2.85,UFC: The Ultimate Fighter 18 Finale,
Davey Grant,Grigorii Popov,2.7,UFC on ESPN+ 21: Zabit vs. Kattar,
Davey Grant,Charles Jourdain,2.7,UFC Fight Night,
Davey Grant,Damian Stasiak,1.48,UFC 204: Bisping vs. Henderson 2,
Bruno Silva,Gerald Meerschaert,1.5,UFC Fight Night: Vera vs. Cruz,
Bruno Silva,Manel Kape,3.1,UFC Fight Night,
Bruno Silva,Cody Durden,2.1,UFC Fight Night,
Bruno Silva,Joshua van,3.4,UFC,
Bruno Silva,David Dvorak,1.69,UFC on ESPN+ 28: Lee vs. Oliveira,
Bruno Silva,J.P. Buys,2.45,UFC on ESPN 21: Brunson vs. Holland,
Bruno Silva,Chris Weidman,1.41,UFC,
Bruno Silva,Marc Andre Barriault,2.1,UFC 315,
Bruno Silva,Victor Rodriguez,1.33,UFC Fight Night 188: Font vs. Garbrandt,
Bruno Silva,Casey Kenney,3,LFA 11: Frincu vs. Mendonca,
Bruno Silva,Tagir Ulanbekov,4.55,UFC on ESPN+ 37: Moraes vs. Sandhagen,
Bruno Silva,Hyunsung Park,3.5,UFC Fight Night,
Bruno Silva,Sharapudin Magomedov,2.5,UFC 294,
Bruno Silva,Ismail Naurdiev,1.68,UFC,
Bruno Silva,Khalid Taha,2.85,UFC 243: Whittaker vs. Adesanya,
Hyunsung Park,Bruno Silva,1.33,UFC Fight Night,
Danny Barlow,Nikolay Veretennikov,1.35,UFC,
Danny Barlow,Josh Quinlan,1.49,UFC 298,
Danny Barlow,Jarious Gill,1.22,CFFC,
Danny Barlow,Sam Patterson,1.29,UFC,
Danny Barlow,Dustin Dipuma,1.17,CFFC 115,
Danny Barlow,Djorden Santos,1.5,UFC Fight Night,
Danny Barlow,Raheam Forest,1.83,Dana White’s Contender Series,
Djorden Santos,Ozzy Diaz,1.57,UFC 313,
Djorden Santos,Danny Barlow,2.7,UFC Fight Night,
Djorden Santos,Will Currie,4,Contender Series,
Drew Dober,Bobby Cooper,,Titan Fighting Championship 16: Sylvia vs. Wagner,
Drew Dober,Nick Nolte,,Bellator Fighting Championships 16,
Drew Dober,Aaron Derrow,,CSC Fight Night I,
Drew Dober,Jon Tuck,1.57,UFC Fight Night 135: Gaethje vs. Vick,
Drew Dober,Olivier Aubin-Mercier,2.55,UFC 206: Holloway vs. Pettis,
Drew Dober,Jamie Varner,3.5,UFC on FOX 13: Dos Santos vs. Miocic,
Drew Dober,Bobby Green,1.91,UFC Fight Night 217,
Drew Dober,Renato Moicano,1.91,UFC Fight Night,
Drew Dober,Nasrat Haqparast,3.6,UFC 246: McGregor vs. Cowboy,
Drew Dober,Scott Holtzman,2.35,UFC 195: Lawler vs. Condit,
Drew Dober,Frank Camacho,1.53,UFC on FOX 27: Jacare vs. Brunson 2,
Drew Dober,Jean Silva,1.65,UFC Fight Night,
Drew Dober,Josh Burkman,1.61,UFC 214: Cormier vs. Jones 2,
Drew Dober,Rafael Alves,1.33,UFC 277: Pena vs. Nunes 2,
Drew Dober,Brad Riddell,1.71,UFC 263: Adesanya vs. Vettori 2,
Drew Dober,Efrain Escudero,1.61,UFC 188: Velasquez vs. Werdum,
Drew Dober,Marco Polo Reyes,1.29,UFC on ESPN 3: Ngannou vs. Dos Santos,
Drew Dober,Terrance McKinney,1.67,UFC,
Drew Dober,Leandro Silva,2.2,UFC Fight Night 62: Maia vs. LaFlare,
Drew Dober,Manuel Torres,1.83,UFC Fight Night,
Drew Dober,Islam Makhachev,4.3,UFC 259: Blachowicz vs. Adesanya,
Drew Dober,Beneil Dariush,2.45,UFC on ESPN+ 4: Lewis vs. Dos Santos,
Drew Dober,Alex Hernandez,1.71,UFC on ESPN+ 29: Smith vs. Teixeira,
Drew Dober,Nick Hein,1.77,UFC Fight Night 41: Munoz vs. Mousasi,
